RESP,ABP1,ABP2,ABP3,SPO2,HR,PULSE,ALARM
23,118,182,80,99,75,75,FALSE
23,118,182,80,99,76,75,FALSE
22,118,182,80,99,76,76,FALSE
22,118,182,80,99,76,76,FALSE
22,118,183,80,99,76,76,FALSE
22,118,182,79,99,76,76,FALSE
20,118,182,80,99,76,75,FALSE
20,118,182,80,99,76,75,FALSE
20,118,182,80,99,76,75,FALSE
20,119,183,80,99,76,75,FALSE
20,119,183,80,99,76,75,FALSE
20,119,183,80,99,76,75,FALSE
20,118,183,80,99,76,75,FALSE
20,118,183,80,99,75,75,FALSE
20,118,183,80,99,75,75,FALSE
20,118,183,80,99,75,75,FALSE
20,118,183,80,99,75,74,FALSE
20,118,183,80,99,75,74,FALSE
20,118,183,80,99,75,73,FALSE
20,118,183,80,99,74,73,FALSE
23,118,182,79,99,74,73,FALSE
23,118,182,79,99,74,73,FALSE
22,118,182,79,99,74,73,FALSE
23,118,182,79,99,74,73,FALSE
23,118,182,79,99,74,73,FALSE
24,117,182,79,99,74,73,FALSE
27,117,182,79,99,74,73,FALSE
26,118,182,79,99,74,73,FALSE
27,118,182,79,99,74,73,FALSE
31,118,182,79,99,74,74,FALSE
31,118,182,79,99,74,74,FALSE
30,118,182,79,99,74,74,FALSE
38,118,182,79,99,74,74,FALSE
0,0,0,0,99,74,74,FALSE
0,0,0,0,99,0,72,FALSE
0,0,0,0,99,0,72,FALSE
0,0,0,0,100,0,72,FALSE
0,117,183,54,100,0,72,FALSE
0,117,184,58,100,0,72,FALSE
0,118,183,63,100,0,73,FALSE
0,119,183,66,100,0,77,FALSE
0,119,184,68,100,0,77,FALSE
0,119,184,71,100,0,78,FALSE
0,119,184,73,100,0,78,FALSE
0,119,184,73,100,79,78,FALSE
0,119,183,75,100,79,78,FALSE
18,119,183,76,100,79,78,FALSE
18,119,183,76,100,78,78,FALSE
19,119,183,78,100,78,77,FALSE
19,120,184,78,100,78,77,FALSE
19,120,184,78,100,78,77,FALSE
19,120,183,79,100,78,77,FALSE
19,120,184,79,100,78,77,FALSE
19,120,184,80,100,77,77,FALSE
19,120,184,80,100,77,77,FALSE
19,120,184,80,100,77,77,FALSE
19,120,184,80,99,77,77,FALSE
19,120,184,80,99,77,76,FALSE
19,120,184,81,99,77,76,FALSE
19,120,184,81,99,77,76,FALSE
19,120,184,81,99,77,76,FALSE
19,120,184,81,99,76,76,FALSE
19,120,184,81,99,76,76,FALSE
19,120,184,81,99,76,76,FALSE
19,120,184,81,99,76,76,FALSE
18,120,184,81,100,76,76,FALSE
22,120,184,80,100,76,76,FALSE
21,120,184,80,100,76,75,FALSE
22,120,184,80,100,76,75,FALSE
23,120,184,80,100,76,75,FALSE
23,120,184,81,99,76,75,FALSE
24,120,184,81,99,76,75,FALSE
26,120,184,81,99,76,75,FALSE
25,120,184,81,99,76,75,FALSE
24,119,184,81,99,76,75,FALSE
26,119,183,80,99,76,76,FALSE
26,119,184,80,99,76,75,FALSE
27,119,183,80,99,76,75,FALSE
32,119,183,80,99,75,75,FALSE
31,119,184,80,99,75,75,FALSE
32,119,184,80,99,76,75,FALSE
32,119,183,80,100,76,75,FALSE
31,119,184,80,100,75,75,FALSE
30,119,184,80,100,75,75,FALSE
29,119,184,80,99,75,75,FALSE
32,119,183,80,99,75,75,FALSE
32,119,184,81,99,75,74,FALSE
31,120,184,81,99,75,74,FALSE
29,121,184,82,99,75,74,FALSE
29,122,184,82,99,75,74,FALSE
31,124,184,84,99,76,74,FALSE
31,125,185,85,99,76,74,FALSE
30,126,185,86,99,78,74,FALSE
30,127,186,87,99,78,74,FALSE
30,127,187,87,99,84,75,FALSE
27,127,187,87,100,84,78,FALSE
27,126,187,86,100,88,83,FALSE
27,125,187,86,100,88,84,FALSE
26,125,186,85,100,89,84,FALSE
26,123,185,84,100,89,84,FALSE
26,123,185,84,100,89,84,FALSE
26,122,184,83,100,89,84,FALSE
